title,url,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
I Just Wanna,https://open.spotify.com/track/4tPrsy2AujIOUxYd6ITOIz,BIG WILD,0.608,0.852,4,-6.885,1,0.0419,0.0021,0.505,0.369,0.64,148.004,183243,4
Down,https://open.spotify.com/track/5eCkuGPZNl4mISFNPgr3Dd,MARIAN HILL,0.678,0.357,0,-14.712,0,0.128,0.675,0.00569,0.124,0.0661,113.301,197773,5
Drew Barrymore,https://open.spotify.com/track/4Ni8k94lpdC6gzjXtUdzVw,SZA,0.544,0.444,7,-9.291,0,0.0642,0.271,0.0,0.377,0.223,135.32,236444,4
I Miss You,https://open.spotify.com/track/4ANIyqDu9QunO1w6DqCDTJ,"GREY, BAHARI",0.697,0.767,4,-5.229,1,0.0949,0.368,0.0,0.119,0.679,102.034,192320,4
Saved,https://open.spotify.com/track/6Hf1P9AHMH3ngy73RVAUdm,KHALID,0.734,0.44,10,-10.246,0,0.172,0.231,0.0,0.0962,0.529,81.071,208982,4
Moving On and Getting Over,https://open.spotify.com/track/1CdEcheLJU6SgxnbFEj2WX,JOHN MAYER,0.848,0.465,1,-9.029,0,0.0524,0.577,0.0543,0.101,0.621,94.02,261933,4
On + Off,https://open.spotify.com/track/4JTbXALrXVYabZKZ9gr8M7,MAGGIE ROGERS,0.588,0.589,4,-7.22,1,0.0397,0.16,9.01e-06,0.418,0.223,129.873,221533,4
You're Gonna Live Forever in Me,https://open.spotify.com/track/2uuupTirBvf7iQ8mWN7v1O,JOHN MAYER,0.509,0.132,7,-14.004,1,0.0322,0.985,0.0025,0.135,0.306,136.968,189320,4
Changing,https://open.spotify.com/track/0GWS6wkQrqZd0BAhq28haq,JOHN MAYER,0.349,0.338,0,-7.793,1,0.0292,0.62,0.00799,0.128,0.391,182.842,213933,3
Sooner Or Later,https://open.spotify.com/track/4mqvE5F95nKSUrUvUH3YB7,AARON CARTER,0.737,0.729,5,-6.817,0,0.0354,0.127,2.16e-05,0.077,0.436,111.937,212564,4
Nevermind,https://open.spotify.com/track/3PHjgrovCBjQQl5Np5YQBy,DENNIS LLOYD,0.421,0.472,10,-7.414,0,0.102,0.333,0.0,0.117,0.528,85.054,150471,4
Electric (feat. Khalid),https://open.spotify.com/track/25wBlLDFcspzo9gBqvrQr3,ALINA BARAZ,0.637,0.359,10,-9.841,0,0.0325,0.593,5.39e-05,0.108,0.142,111.049,245294,4
I Give You Power,https://open.spotify.com/track/7aIjefMJSpmNVivRcS1unF,"ARCADE FIRE, MAVIS STAPLES",0.669,0.545,1,-9.232,1,0.106,0.0276,1.06e-05,0.261,0.317,95.605,223279,4
Running Back (feat. Lil Wayne),https://open.spotify.com/track/4mAhZaSrcVD6cJWA6IqFrk,WALE,0.792,0.675,2,-4.526,1,0.093,0.0722,0.0,0.143,0.11,127.076,215440,4
