Unnamed: 0,title,artist,url,title_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
34,All Time Low,JON BELLION,https://open.spotify.com/track/5wQRNkb7OhzJoT1P0OZ4Rw,5wQRNkb7OhzJoT1P0OZ4Rw,0.672,0.386,0,-9.715,1,0.264,0.389,0,0.0838,0.529,90.082,221333,4
92,I Knew You Were Waiting (For Me),"GEORGE MICHAEL, ARETHA FRANKLIN",https://open.spotify.com/track/0f6pHbsLzpWxl5CfhOUjBA,0f6pHbsLzpWxl5CfhOUjBA,0.71,0.639,4,-12.839,1,0.045,0.23,0,0.172,0.733,107.947,241000,4
404,Careless Whisper,GEORGE MICHAEL,https://open.spotify.com/track/6KsgCYcZKPcBRDNGhiZWRR,6KsgCYcZKPcBRDNGhiZWRR,0.567,0.32,2,-18.386,0,0.036,0.345,2.51e-06,0.316,0.529,76.58,392267,4
402,Moves,BIG SEAN,https://open.spotify.com/track/6Kd4EPrY9A4WBUFy5JaqEc,6Kd4EPrY9A4WBUFy5JaqEc,0.808,0.534,2,-6.123,1,0.283,0.0417,0,0.136,0.354,75.5,142920,4
437,Bad and Boujee (feat. Lil Uzi Vert),MIGOS,https://open.spotify.com/track/1FvU97lrWOG2NRxErh6OZz,1FvU97lrWOG2NRxErh6OZz,0.897,0.661,8,-6.2,0,0.27,0.0633,0,0.116,0.193,127.081,334467,4
652,Romantic - NOTD Remix,STANAJ,https://open.spotify.com/track/1pvgpkMqtQyOGePdYOTt9U,1pvgpkMqtQyOGePdYOTt9U,0.748,0.653,8,-7.975,0,0.219,0.209,0,0.237,0.394,104.008,184813,4
884,Caroline,AMINÉ,https://open.spotify.com/track/5hTpBe8h35rJ67eAWHQsJx,5hTpBe8h35rJ67eAWHQsJx,0.94,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04,209640,4
854,Romantic - NOTD Remix,STANAJ,https://open.spotify.com/track/2yNM18IhYDt3UWcKtHNIMZ,2yNM18IhYDt3UWcKtHNIMZ,0.749,0.647,8,-7.968,0,0.196,0.237,0,0.236,0.355,104.015,184813,4
1124,Rooting For You,LONDON GRAMMAR,https://open.spotify.com/track/5MHmD8cfTbudNLTWYA5QHJ,5MHmD8cfTbudNLTWYA5QHJ,0.333,0.262,2,-7.551,1,0.0361,0.915,1.31e-06,0.0889,0.156,106.216,269566,4
1045,Lot to Learn,LUKE CHRISTOPHER,https://open.spotify.com/track/3TRFq09DUgYj1mug6RRqJW,3TRFq09DUgYj1mug6RRqJW,0.405,0.846,6,-3.57,1,0.195,0.0948,0,0.0666,0.602,82.232,248337,4
1054,All Night,"THE VAMPS, MATOMA",https://open.spotify.com/track/1yNyoWWWikbLhwIGWjZuDW,1yNyoWWWikbLhwIGWjZuDW,0.563,0.775,8,-6.433,1,0.0366,0.00251,0,0.326,0.458,144.945,197793,4
995,Caroline,AMINÉ,https://open.spotify.com/track/5GFDrUTLGJix84sNhjCG0g,5GFDrUTLGJix84sNhjCG0g,0.945,0.394,10,-8.571,1,0.492,0.303,0,0.131,0.743,120.058,209747,4
1103,Now and Later,SAGE THE GEMINI,https://open.spotify.com/track/43jBqV3j3Xi1g6wO0bhIMd,43jBqV3j3Xi1g6wO0bhIMd,0.781,0.57,11,-5.874,0,0.188,0.273,0,0.196,0.858,107.059,193181,4
1459,Light,SAN HOLO,https://open.spotify.com/track/74Ru27B7Jx8mBt5MGvGLLv,74Ru27B7Jx8mBt5MGvGLLv,0.572,0.754,1,-4.148,1,0.0564,0.0949,1.86e-06,0.0985,0.423,150.068,240500,4
1938,Throw Myself A Party,"CASHMERE CAT, STARRAH, 2 CHAINZ, TORY LANEZ",https://open.spotify.com/track/5n6PtOoeGzBeKFDeGNozLd,5n6PtOoeGzBeKFDeGNozLd,0.626,0.64,8,-5.133,0,0.0525,0.195,0,0.147,0.516,136.072,248493,4
2040,Castle on the Hill,ED SHEERAN,https://open.spotify.com/track/66qlqxhEMpSHOzjRK4il0b,66qlqxhEMpSHOzjRK4il0b,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14e-05,0.14,0.471,135.007,261154,4
2046,Say Something Loving,THE XX,https://open.spotify.com/track/1lIrmWLhL9ivA9nYbpDWBv,1lIrmWLhL9ivA9nYbpDWBv,0.627,0.721,0,-7.782,0,0.0304,0.296,6.41e-05,0.231,0.383,130.08,238373,4
2014,Shape of You,ED SHEERAN,https://open.spotify.com/track/0FE9t6xYkqWXU2ahLh6D8X,0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,233713,4
2016,So Close,ANDREW MCMAHON IN THE WILDERNESS,https://open.spotify.com/track/7w7yweCmUTBeP6KSyYOSvC,7w7yweCmUTBeP6KSyYOSvC,0.594,0.893,5,-4.029,0,0.064,0.0452,0.000234,0.0852,0.771,120.028,199640,4
2423,Drinkin' Too Much,SAM HUNT,https://open.spotify.com/track/2sUKv0BT5iyyPvdMrZ1LmD,2sUKv0BT5iyyPvdMrZ1LmD,0.354,0.384,1,-9.378,1,0.0611,0.856,0,0.098,0.154,176.611,231493,5
2427,So Close,ANDREW MCMAHON IN THE WILDERNESS,https://open.spotify.com/track/7LS0yyJRMdH608s7o9fcyv,7LS0yyJRMdH608s7o9fcyv,0.598,0.905,0,-3.989,0,0.0585,0.0525,0.000325,0.0878,0.736,119.934,199640,4
